"Class","Manufacturer","carline name","displ","cyl","trans","drv","bidx","cty","hwy","cmb","ucty","uhwy","ucmb","fl","G","T","S","2pv","2lv","4pv","4lv","hpv","hlv","fcost","eng dscr","trans dscr","vpc","cls"
"TWO SEATERS","ACURA","NSX",3,6,"Auto(S4)","R",60,17,24,20,19.13,30.2,22.91,"P",,,,,,,,,,1238,"DOHC-VTEC","2MODE",4,1
"TWO SEATERS","ACURA","NSX",3.2,6,"Manual(M6)","R",65,17,24,19,18.7,30.4,22.62,"P",,,,,,,,,,1302,"DOHC-VTEC",,4,1
"TWO SEATERS","ASTON MARTIN","ASTON MARTIN VANQUISH",5.9,12,"Auto(S6)","R",1,12,19,14,13.55,24.7,17.02,"P","G",,,,,,,,,1651,"GUZZLER","CLKUP",4,1
"TWO SEATERS","AUDI","TT ROADSTER",1.8,4,"Manual(M5)","F",18,22,31,26,24.8,39.8,29.87,"P",,"T",,,,,,,,953,,,5,1
"TWO SEATERS","AUDI","TT ROADSTER QUATTRO",1.8,4,"Manual(M6)",4,18,20,28,23,22.38,35.98,26.97,"P",,"T",,,,,,,,1077,,,5,1
"TWO SEATERS","BMW","M COUPE",3.2,6,"Manual(M5)","R",32,17,25,20,19.2,31.5,23.29,"P",,,,,,,,,,1238,"MOTORSPORT",,4,1
"TWO SEATERS","BMW","M ROADSTER",3.2,6,"Manual(M5)","R",32,17,25,20,19.2,31.5,23.29,"P",,,,,,,,,,1238,"MOTORSPORT",,4,1
"TWO SEATERS","BMW","Z3 COUPE",3,6,"Auto(L5)","R",30,19,27,22,21.34,34.72,25.82,"P",,,,,,,,,,1126,,"3MODE",4,1
"TWO SEATERS","BMW","Z3 COUPE",3,6,"Manual(M5)","R",30,21,29,24,23.3,36.69,27.88,"P",,,,,,,,,,1032,,,4,1
"TWO SEATERS","BMW","Z3 ROADSTER",2.5,6,"Manual(M5)","R",25,20,27,23,22.1,34.9,26.47,"P",,,,,,,,,,1077,,,4,1
"TWO SEATERS","BMW","Z3 ROADSTER",2.5,6,"Auto(S5)","R",25,19,26,22,21.37,33.54,25.54,"P",,,,,,,,,,1126,,"3MODE",4,1
"TWO SEATERS","BMW","Z3 ROADSTER",3,6,"Auto(L5)","R",30,19,25,21,20.71,32.54,24.76,"P",,,,,,,,,,1178,,"3MODE",4,1
"TWO SEATERS","BMW","Z3 ROADSTER",3,6,"Manual(M5)","R",30,21,29,24,23.3,36.69,27.88,"P",,,,,,,,,,1032,,,4,1
"TWO SEATERS","BMW","Z8",4.9,8,"Manual(M6)","R",49,13,21,16,14.95,26.5,18.6,"P","G",,,,,,,,,1547,"GUZZLER",,4,1
"TWO SEATERS","CHEVROLET","CORVETTE",5.7,8,"Auto(L4)","R",113,18,25,21,19.7,32.5,23.94,"P",,,,,,,,,,1178,,"CLKUP",2,1
"TWO SEATERS","CHEVROLET","CORVETTE",5.7,8,"Manual(M6)","R",112,19,28,22,21.3,35.9,26.07,"P",,,,,,,,,,1126,,,2,1
"TWO SEATERS","CHRYSLER","PROWLER",3.5,6,"Auto(S4)","R",50,18,23,20,19.6,29.6,23.11,"R",,,,,,,,,,1125,,"VMODE CLKUP",4,1
"TWO SEATERS","DODGE","VIPER CONVERTIBLE",8,10,"Manual(M6)","R",95,11,21,14,12.5,26.4,16.38,"P","G",,,,,,,,,1767,"GUZZLER",,2,1
"TWO SEATERS","DODGE","VIPER COUPE",8,10,"Manual(M6)","R",95,11,21,14,12.5,26.4,16.38,"P","G",,,,,,,,,1767,"GUZZLER",,2,1
"TWO SEATERS","FERRARI","FERRARI 360 MODENA/SPIDER",3.6,8,"Manual(M6)","R",1,11,16,13,11.9,20.2,14.6,"P","G",,,,,,,,,1903,"GUZZLER",,5,1
"TWO SEATERS","FERRARI","FERRARI 360 MODENA/SPIDER",3.6,8,"Auto(S6)","R",1,10,16,12,11.65,20.5,14.46,"P","G",,,,,,,,,2062,"GUZZLER","3MODE",5,1
"TWO SEATERS","FERRARI","FERRARI 575",5.7,12,"Manual(M6)","R",3,10,16,12,10.6,20.3,13.5,"P","G",,,,,,,,,2062,"GUZZLER",,4,1
"TWO SEATERS","FERRARI","FERRARI 575",5.7,12,"Auto(S6)","R",3,10,17,12,11.25,21.4,14.3,"P","G",,,,,,,,,2062,"GUZZLER","3MODE",4,1
"TWO SEATERS","FORD","THUNDERBIRD",3.9,8,"Auto(L5)","R",410,17,23,19,18.51,29.9,22.34,"P",,,,52,8,,,,,1302,,"CLKUP",4,1
"TWO SEATERS","HONDA","INSIGHT",1,3,"Auto(AV)","F",20,57,56,56,62.8,71.4,66.4,"R",,,,,,,,,,403,,,4,1
"TWO SEATERS","HONDA","INSIGHT",1,3,"Manual(M5)","F",20,61,68,64,67.54,87.21,75.17,"R",,,,,,,,,,351,,"SIL",4,1
"TWO SEATERS","HONDA","S2000",2,4,"Manual(M6)","R",40,20,26,23,22.6,33.8,26.56,"P",,,,,,,,,,1077,"DOHC-VTEC",,4,1
"TWO SEATERS","LAMBORGHINI","L-147 MURCIELAGO",6,12,"Manual(M6)",4,2,9,13,10,10.12,16.29,12.2,"P","G",,,,,,,,,2475,"GUZZLER",,4,1
"TWO SEATERS","LAMBORGHINI","L-147 MURCIELAGO",6.2,12,"Manual(M6)",4,1,9,13,10,10.12,16.29,12.2,"P","G",,,,,,,,,2475,"GUZZLER",,4,1
"TWO SEATERS","MASERATI","SPIDER CAMBIOCORSA/SPIDER GT",4.2,8,"Manual(M6)","R",2,11,17,13,12.4,21.3,15.27,"P","G",,,,,,,,,1903,"GUZZLER",,4,1
"TWO SEATERS","MASERATI","SPIDER CAMBIOCORSA/SPIDER GT",4.2,8,"Auto(S6)","R",2,11,17,13,12.53,21.3,15.38,"P","G",,,,,,,,,1903,"GUZZLER","3MODE",4,1
"TWO SEATERS","MAZDA","MX-5 MIATA",1.8,4,"Auto(L4)","R",2,22,28,24,24.6,35.5,28.54,"P",,,,,,,,,,1032,,"CLKUP",4,1
"TWO SEATERS","MAZDA","MX-5 MIATA",1.8,4,"Manual(M5)","R",2,23,28,25,25.8,36.4,29.69,"P",,,,,,,,,,990,,,4,1
"TWO SEATERS","MAZDA","MX-5 MIATA",1.8,4,"Manual(M6)","R",2,23,28,25,25.2,35.8,29.07,"P",,,,,,,,,,990,,,4,1
"TWO SEATERS","MERCEDES-BENZ","SL500",5,8,"Auto(L5)","R",32,16,23,19,18,29.9,21.93,"P","G",,,50,8,,,,,1302,"GUZZLER","EMS 2MODE CLKUP",3,1
"TWO SEATERS","MERCEDES-BENZ","SL600",6,12,"Auto(L5)","R",60,13,19,15,14.35,23.95,17.51,"P","G",,,50,8,,,,,1651,"GUZZLER","EMS 2MODE CLKUP",4,1
"TWO SEATERS","MERCEDES-BENZ","SLK230 KOMPRESSOR",2.3,4,"Auto(L5)","R",449,23,30,25,25.25,38.04,29.75,"P",,,"S",48,10,,,,,990,,"EMS 2MODE CLKUP",4,1
"TWO SEATERS","MERCEDES-BENZ","SLK230 KOMPRESSOR",2.3,4,"Manual(M6)","R",449,20,30,24,22.36,37.92,27.42,"P",,,"S",48,10,,,,,1032,,"EMS",4,1
"TWO SEATERS","MERCEDES-BENZ","SLK32 AMG",3.2,6,"Auto(L5)","R",464,18,24,20,20.4,30.3,23.92,"P",,,"S",48,10,,,,,1238,,"EMS 2MODE CLKUP",3,1
"TWO SEATERS","MERCEDES-BENZ","SLK320",3.2,6,"Auto(L5)","R",465,20,26,22,22.1,33.4,26.07,"P",,,,48,10,,,,,1126,,"EMS 2MODE CLKUP",3,1
"TWO SEATERS","MERCEDES-BENZ","SLK320",3.2,6,"Manual(M6)","R",465,17,26,20,19,32.8,23.44,"P",,,,48,10,,,,,1238,,"EMS",3,1
"TWO SEATERS","PORSCHE","911 GT2",3.6,6,"Manual(M6)","R",400,15,22,18,16.9,27.9,20.55,"P","G","T",,,,,,,,1376,"GUZZLER",,4,1
"TWO SEATERS","PORSCHE","BOXSTER",2.7,6,"Manual(M5)","R",100,19,27,22,21.5,35.1,26.04,"P",,,,,,,,,,1126,,,4,1
"TWO SEATERS","PORSCHE","BOXSTER",2.7,6,"Auto(S5)","R",100,17,25,20,19.44,31.54,23.49,"P",,,,,,,,,,1238,,"2MODE",4,1
"TWO SEATERS","PORSCHE","BOXSTER S",3.2,6,"Manual(M6)","R",200,18,26,20,19.5,32.7,23.83,"P",,,,,,,,,,1238,,,4,1
"TWO SEATERS","PORSCHE","BOXSTER S",3.2,6,"Auto(S5)","R",200,17,25,20,18.64,31.72,22.89,"P",,,,,,,,,,1238,,"2MODE",4,1
"TWO SEATERS","TOYOTA","MR2",1.8,4,"Manual(M5)","R",19,25,30,27,27.9,38.3,31.78,"R",,,,46,2,,,,,832,,,4,1
"MINICOMPACT CARS","AUDI","TT COUPE",1.8,4,"Manual(M5)","F",18,23,31,26,25.6,40,30.55,"P",,"T",,,,,,65,14,953,,,5,2
"MINICOMPACT CARS","AUDI","TT COUPE QUATTRO",1.8,4,"Manual(M5)",4,18,20,29,24,22.7,37.3,27.55,"P",,"T",,,,,,65,11,1032,,,5,2
"MINICOMPACT CARS","AUDI","TT COUPE QUATTRO",1.8,4,"Manual(M6)",4,18,20,28,23,22.38,35.98,26.97,"P",,"T",,,,,,65,11,1077,,,5,2
"MINICOMPACT CARS","BMW","325CI CONVERTIBLE",2.5,6,"Manual(M5)","R",25,19,27,22,20.85,34.02,25.25,"P",,,,74,9,,,,,1126,,,4,2
"MINICOMPACT CARS","BMW","325CI CONVERTIBLE",2.5,6,"Auto(S5)","R",25,19,26,21,20.67,32.83,24.81,"P",,,,74,9,,,,,1178,,"3MODE",4,2
"MINICOMPACT CARS","BMW","330CI CONVERTIBLE",3,6,"Auto(L5)","R",30,18,26,21,19.92,33.39,24.34,"P",,,,74,9,,,,,1178,,"3MODE",4,2
"MINICOMPACT CARS","BMW","330CI CONVERTIBLE",3,6,"Manual(M5)","R",30,20,28,23,21.9,35.8,26.54,"P",,,,74,9,,,,,1077,,,4,2
"MINICOMPACT CARS","BMW","M3 CONVERTIBLE",3.2,6,"Manual(M6)","R",32,16,23,18,17.5,29.54,21.43,"P","G",,,74,9,,,,,1376,"GUZZLER",,4,2
"MINICOMPACT CARS","JAGUAR","JAGUAR XK8 CONVERTIBLE",4,8,"Auto(L5)","R",220,17,24,20,19.01,30.35,22.85,"P",,,,70,10,,,,,1238,,"2MODE",4,2
"MINICOMPACT CARS","JAGUAR","JAGUAR XKR CONVERTIBLE",4,8,"Auto(L5)","R",77,16,22,19,18.14,28.79,21.76,"P","G",,"S",70,10,,,,,1302,"GUZZLER","2MODE",4,2
"MINICOMPACT CARS","LEXUS","SC 300/SC 430",4.3,8,"Auto(L5)","R",1,18,23,20,19.92,29.82,23.42,"P",,,,75,9,,,,,1238,,"2MODE CLKUP",4,2
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER",2.4,4,"Manual(M5)","F",20,22,29,25,24.4,37.2,28.87,"R",,,,75,7,,,,,900,"SOHC",,4,2
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER",2.4,4,"Auto(S4)","F",20,20,26,22,21.74,33.9,25.92,"R",,,,75,7,,,,,1024,"SOHC","2MODE CLKUP",4,2
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER",3,6,"Manual(M5)","F",21,20,29,23,22.2,36.6,26.98,"P",,,,75,7,,,,,1077,"SOHC",,4,2
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER",3,6,"Auto(S4)","F",21,19,28,22,21.6,35.45,26.2,"P",,,,75,7,,,,,1126,"SOHC","2MODE CLKUP",4,2
"MINICOMPACT CARS","PORSCHE","911 CARRERA",3.6,6,"Manual(M6)","R",300,18,26,21,19.6,33.4,24.08,"P",,,,70,5,,,,,1178,,,4,2
"MINICOMPACT CARS","PORSCHE","911 CARRERA",3.6,6,"Auto(S5)","R",300,18,26,21,20.17,32.8,24.4,"P",,,,70,5,,,,,1178,,"2MODE",4,2
"MINICOMPACT CARS","PORSCHE","911 CARRERA 4 CABRIOLET",3.6,6,"Manual(M6)",4,300,17,24,19,18.7,30.3,22.59,"P",,,,68,5,,,,,1302,,,4,2
"MINICOMPACT CARS","PORSCHE","911 CARRERA 4 CABRIOLET",3.6,6,"Auto(S5)",4,300,17,23,19,18.93,30,22.7,"P",,,,68,5,,,,,1302,,"2MODE",4,2
"MINICOMPACT CARS","PORSCHE","911 CARRERA 4S",3.6,6,"Manual(M6)",4,300,17,24,19,18.9,30.3,22.75,"P",,,,68,5,,,,,1302,,,4,2
"MINICOMPACT CARS","PORSCHE","911 CARRERA 4S",3.6,6,"Auto(S5)",4,300,17,23,19,18.83,29.15,22.4,"P",,,,68,5,,,,,1302,,"2MODE",4,2
"MINICOMPACT CARS","PORSCHE","911 CARRERA CABRIOLET",3.6,6,"Manual(M6)","R",300,18,26,21,19.9,33.8,24.42,"P",,,,68,5,,,,,1178,,,4,2
"MINICOMPACT CARS","PORSCHE","911 CARRERA CABRIOLET",3.6,6,"Auto(S5)","R",300,18,26,21,20.14,33,24.42,"P",,,,68,5,,,,,1178,,"2MODE",4,2
"MINICOMPACT CARS","PORSCHE","911 TARGA",3.6,6,"Manual(M6)","R",300,18,26,21,19.9,33.8,24.42,"P",,,,68,5,,,,,1178,,,4,2
"MINICOMPACT CARS","PORSCHE","911 TARGA",3.6,6,"Auto(S5)","R",300,18,26,21,20.14,33,24.42,"P",,,,68,5,,,,,1178,,"2MODE",4,2
"MINICOMPACT CARS","PORSCHE","911 TURBO",3.6,6,"Manual(M6)",4,400,15,22,18,16.9,27.9,20.55,"P","G","T",,68,5,,,,,1376,"GUZZLER",,4,2
"MINICOMPACT CARS","PORSCHE","911 TURBO",3.6,6,"Auto(S5)",4,400,15,22,17,16.4,28.55,20.28,"P","G","T",,68,5,,,,,1455,"GUZZLER","2MODE",4,2
"SUBCOMPACT CARS","ACURA","RSX",2,4,"Manual(M5)","F",30,27,33,29,29.6,42,34.14,"R",,,,,,,,81,16,776,,,4,3
"SUBCOMPACT CARS","ACURA","RSX",2,4,"Manual(M6)","F",30,24,31,27,27,39.9,31.6,"P",,,,,,,,81,16,916,,,4,3
"SUBCOMPACT CARS","ACURA","RSX",2,4,"Auto(S5)","F",30,24,33,27,26.92,41.68,32.03,"R",,,,,,,,81,16,832,,"2MODE",4,3
"SUBCOMPACT CARS","BMW","325CI",2.5,6,"Manual(M5)","R",25,20,29,24,22.64,37.64,27.59,"P",,,,84,9,,,,,1032,,,4,3
"SUBCOMPACT CARS","BMW","325CI",2.5,6,"Auto(S5)","R",25,19,27,22,21.36,34.02,25.66,"P",,,,84,9,,,,,1126,,"3MODE",4,3
"SUBCOMPACT CARS","BMW","330CI",3,6,"Auto(L5)","R",30,19,27,22,21.34,34.72,25.82,"P",,,,84,9,,,,,1126,,"3MODE",4,3
"SUBCOMPACT CARS","BMW","330CI",3,6,"Manual(M5)","R",30,21,30,24,23.1,38.1,28.07,"P",,,,84,9,,,,,1032,,,4,3
"SUBCOMPACT CARS","BMW","M3",3.2,6,"Manual(M6)","R",32,16,24,19,18,30.9,22.16,"P","G",,,84,9,,,,,1302,"GUZZLER",,4,3
"SUBCOMPACT CARS","CHEVROLET","CAMARO",3.8,6,"Auto(L4)","R",107,19,30,23,21.4,38.87,26.83,"R",,,,84,12,,,,,979,,"CLKUP",2,3
"SUBCOMPACT CARS","CHEVROLET","CAMARO",3.8,6,"Manual(M5)","R",106,19,31,23,21.2,40,26.89,"R",,,,84,12,,,,,979,,,2,3
"SUBCOMPACT CARS","CHEVROLET","CAMARO",5.7,8,"Auto(L4)","R",113,18,25,21,19.75,32.53,23.99,"P",,,,84,12,,,,,1178,,"CLKUP",2,3
"SUBCOMPACT CARS","CHEVROLET","CAMARO",5.7,8,"Manual(M6)","R",112,19,28,22,21.25,35.86,26.02,"P",,,,84,12,,,,,1126,,,2,3
"SUBCOMPACT CARS","FERRARI","FERRARI 456 MGT/MGTA",5.5,12,"Auto(L4)","R",2,10,15,11,10.7,19.1,13.34,"P","G",,,87,7,,,,,2250,"GUZZLER","CLKUP",4,3
"SUBCOMPACT CARS","FERRARI","FERRARI 456 MGT/MGTA",5.5,12,"Manual(M6)","R",2,10,16,12,10.9,20.6,13.83,"P","G",,,87,7,,,,,2062,"GUZZLER",,4,3
"SUBCOMPACT CARS","FORD","ESCORT ZX2",2,4,"Auto(L4)","F",150,25,33,28,27.5,41.9,32.53,"R",,,,80,16,,,,,803,,"CLKUP",4,3
"SUBCOMPACT CARS","FORD","ESCORT ZX2",2,4,"Manual(M5)","F",152,26,33,29,28.8,42.9,33.8,"R",,,,80,16,,,,,776,,,4,3
"SUBCOMPACT CARS","FORD","MUSTANG",3.8,6,"Auto(L4)","R",100,19,27,22,21.37,34.87,25.88,"R",,,,82,11,,,,,1024,,"CLKUP",2,3
"SUBCOMPACT CARS","FORD","MUSTANG",3.8,6,"Manual(M5)","R",102,20,29,23,21.8,37.48,26.85,"R",,,,82,11,,,,,979,,,2,3
"SUBCOMPACT CARS","FORD","MUSTANG",4.6,8,"Auto(L4)","R",104,17,24,20,19.32,30.87,23.23,"R",,,,82,11,,,,,1125,,"CLKUP",2,3
"SUBCOMPACT CARS","FORD","MUSTANG",4.6,8,"Manual(M5)","R",106,18,26,21,20.2,32.7,24.4,"R",,,,82,11,,,,,1071,,,2,3
"SUBCOMPACT CARS","HONDA","CIVIC HX",1.7,4,"Auto(AV)","F",1,35,40,37,38.9,51.4,43.68,"R",,,,86,13,,,,,608,"VTEC-E",,4,3
"SUBCOMPACT CARS","HONDA","CIVIC HX",1.7,4,"Manual(M5)","F",1,36,44,39,40,56.3,45.99,"R",,,,86,13,,,,,576,"VTEC-E",,4,3
"SUBCOMPACT CARS","HYUNDAI","TIBURON",2,4,"Auto(L4)","F",11,23,30,26,25.8,38.4,30.27,"R",,,,81,15,,,,,866,,"CLKUP",4,3
"SUBCOMPACT CARS","HYUNDAI","TIBURON",2,4,"Manual(M5)","F",11,23,31,26,25.6,39.8,30.5,"R",,,,81,15,,,,,866,,,4,3
"SUBCOMPACT CARS","HYUNDAI","TIBURON",2.7,6,"Auto(L4)","F",12,20,26,22,21.7,33.4,25.76,"R",,,,81,15,,,,,1024,,"CLKUP",4,3
"SUBCOMPACT CARS","HYUNDAI","TIBURON",2.7,6,"Manual(M6)","F",12,18,26,21,20.3,33.9,24.77,"R",,,,81,15,,,,,1071,,,4,3
"SUBCOMPACT CARS","JAGUAR","JAGUAR XK8",4,8,"Auto(L5)","R",220,17,24,20,19.01,30.35,22.85,"P",,,,75,11,,,,,1238,,"2MODE",4,3
"SUBCOMPACT CARS","JAGUAR","JAGUAR XKR",4,8,"Auto(L5)","R",77,16,22,19,18.14,28.79,21.76,"P","G",,"S",75,11,,,,,1302,"GUZZLER","2MODE",4,3
"SUBCOMPACT CARS","MASERATI","COUPE CAMBIOCORSA/COUPE GT",4.2,8,"Manual(M6)","R",1,11,17,13,12.4,21.3,15.27,"P","G",,,86,5,,,,,1903,"GUZZLER",,4,3
"SUBCOMPACT CARS","MASERATI","COUPE CAMBIOCORSA/COUPE GT",4.2,8,"Auto(S6)","R",1,11,17,13,12.53,21.3,15.38,"P","G",,,86,5,,,,,1903,"GUZZLER","3MODE",4,3
"SUBCOMPACT CARS","MERCEDES-BENZ","CLK320",3.2,6,"Auto(L5)","R",365,20,27,23,22.14,34.26,26.33,"P",,,,81,11,,,,,1077,,"EMS 2MODE CLKUP",3,3
"SUBCOMPACT CARS","MERCEDES-BENZ","CLK320 (CABRIOLET)",3.2,6,"Auto(L5)","R",466,19,26,22,21.34,33.6,25.53,"P",,,,76,9,,,,,1126,,"EMS 2MODE CLKUP",3,3
"SUBCOMPACT CARS","MERCEDES-BENZ","CLK430",4.3,8,"Auto(L5)","R",370,18,24,20,19.8,30.5,23.51,"P",,,,81,11,,,,,1238,,"EMS 2MODE CLKUP",3,3
"SUBCOMPACT CARS","MERCEDES-BENZ","CLK430 (CABRIOLET)",4.3,8,"Auto(L5)","R",470,17,24,20,19.4,30.4,23.17,"P",,,,76,9,,,,,1238,,"EMS 2MODE CLKUP",3,3
"SUBCOMPACT CARS","MERCEDES-BENZ","CLK55 AMG",5.4,8,"Auto(L5)","R",374,17,24,20,19.4,30.7,23.25,"P",,,,76,9,,,,,1238,,"EMS 2MODE CLKUP",3,3
"SUBCOMPACT CARS","MERCEDES-BENZ","CLK55 AMG (CABRIOLET)",5.4,8,"Auto(L5)","R",474,16,22,18,17.9,28.6,21.52,"P","G",,,76,9,,,,,1376,"GUZZLER","EMS 2MODE CLKUP",3,3
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",2.4,4,"Auto(L4)","F",22,20,27,23,22.6,34.4,26.73,"R",,,,,,,,79,17,979,"SOHC","CMODE CLKUP",4,3
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",2.4,4,"Manual(M5)","F",22,23,30,25,25.04,38.51,29.71,"R",,,,,,,,79,17,900,"SOHC",,4,3
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",2.4,4,"Auto(S4)","F",22,20,27,22,22.09,34.35,26.32,"R",,,,,,,,79,17,1024,"SOHC","2MODE CLKUP",4,3
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",3,6,"Manual(M5)","F",23,20,28,23,22.5,36.2,27.12,"P",,,,,,,,79,17,1077,"SOHC",,4,3
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",3,6,"Auto(S4)","F",23,20,28,23,21.9,35.8,26.54,"P",,,,,,,,79,17,1077,"SOHC","2MODE CLKUP",4,3
"SUBCOMPACT CARS","MITSUBISHI","MIRAGE",1.5,4,"Auto(L4)","F",10,28,35,31,31.02,44.43,35.89,"R",,,,86,11,,,,,727,"SOHC","CMODE CLKUP",3,3
"SUBCOMPACT CARS","MITSUBISHI","MIRAGE",1.5,4,"Manual(M5)","F",10,32,39,35,35.27,49.81,40.6,"R",,,,86,11,,,,,644,"SOHC",,3,3
"SUBCOMPACT CARS","MITSUBISHI","MIRAGE",1.8,4,"Auto(L4)","F",11,26,32,28,28.4,41.6,33.13,"R",,,,86,11,,,,,803,"SOHC","CMODE CLKUP",4,3
"SUBCOMPACT CARS","MITSUBISHI","MIRAGE",1.8,4,"Manual(M5)","F",11,29,36,32,31.7,46.7,37.05,"R",,,,86,11,,,,,702,"SOHC",,4,3
"SUBCOMPACT CARS","PONTIAC","FIREBIRD",3.8,6,"Auto(L4)","R",107,19,30,23,21.4,38.9,26.83,"R",,,,84,12,,,,,979,,"CLKUP",2,3
"SUBCOMPACT CARS","PONTIAC","FIREBIRD",3.8,6,"Manual(M5)","R",106,19,31,23,21.2,40,26.89,"R",,,,84,12,,,,,979,,,2,3
"SUBCOMPACT CARS","PONTIAC","FIREBIRD",5.7,8,"Auto(L4)","R",113,18,26,21,20.1,32.7,24.32,"P",,,,84,12,,,,,1178,,"CLKUP",2,3
"SUBCOMPACT CARS","PONTIAC","FIREBIRD",5.7,8,"Manual(M6)","R",112,19,28,22,20.6,35.3,25.35,"P",,,,84,12,,,,,1126,,,2,3
"SUBCOMPACT CARS","QUANTUM","CAVALIER DUAL-FUEL",2.2,4,"Auto(A4)","F",1,23,30,26,25.34,38.58,29.97,"R",,,,,,92,7,,,866,"RNG=360 MI",,2,3
"SUBCOMPACT CARS","QUANTUM","CAVALIER DUAL-FUEL",2.2,4,"Auto(A4)","F",2,20,28,23,22.67,35.66,27.12,"C",,,,,,92,7,,,914,"RNG=110 MI",,2,3
"SUBCOMPACT CARS","ROUSH PERFORMANCE","ROUSH STAGE 3 MUSTANG",4.6,8,"Auto(L4)","R",2,18,23,20,20.2,29.3,23.38,"P",,,"S",79,9,,,,,1238,,"EMS CLKUP",2,3
"SUBCOMPACT CARS","ROUSH PERFORMANCE","ROUSH STAGE 3 MUSTANG",4.6,8,"Manual(M5)","R",4,17,25,20,19.1,31.6,23.23,"P",,,"S",79,9,,,,,1238,,"EMS",2,3
"SUBCOMPACT CARS","SAAB","SAAB 9-3 CONVERTIBLE",2,4,"Auto(L4)","F",301,21,29,24,23.2,37.57,28.02,"P",,"T",,80,13,,,,,1032,"B205R","2MODE CLKUP",4,3
"SUBCOMPACT CARS","SAAB","SAAB 9-3 CONVERTIBLE",2,4,"Manual(M5)","F",308,23,33,26,25.56,41.7,30.95,"P",,"T",,80,13,,,,,953,"B205R","SIL",4,3
"SUBCOMPACT CARS","SAAB","SAAB 9-3 VIGGEN CONVERTIBLE",2.3,4,"Manual(M5)","F",309,19,28,22,21.43,35.74,26.14,"P",,"T",,80,13,,,,,1126,"B235R",,4,3
"SUBCOMPACT CARS","SATURN","SC",1.9,4,"Auto(L4)","F",117,26,36,29,28.7,45.6,34.44,"R",,,,84,11,,,,,776,"SOHC","CLKUP",2,3
"SUBCOMPACT CARS","SATURN","SC",1.9,4,"Auto(L4)","F",124,25,36,29,28.12,45.57,33.98,"R",,,,84,11,,,,,776,"DOHC","CLKUP",4,3
"SUBCOMPACT CARS","SATURN","SC",1.9,4,"Manual(M5)","F",123,27,38,31,29.9,48.4,36.11,"R",,,,84,11,,,,,727,"DOHC","SIL",4,3
"SUBCOMPACT CARS","SATURN","SC",1.9,4,"Manual(M5)","F",116,28,40,33,31.6,51.3,38.2,"R",,,,84,11,,,,,682,,"SIL",2,3
"SUBCOMPACT CARS","SUBARU","IMPREZA AWD",2.5,4,"Auto(L4)",4,20,22,27,24,24.32,34.6,28.07,"R",,,,,,88,11,,,938,,"CLKUP",4,3
"SUBCOMPACT CARS","SUBARU","IMPREZA AWD",2.5,4,"Manual(M5)",4,20,20,28,23,22.6,35.4,26.99,"R",,,,,,88,11,,,979,,,4,3
"SUBCOMPACT CARS","SUBARU","IMPREZA AWD",2,4,"Auto(L4)",4,10,19,26,22,21.42,33.68,25.62,"P",,"T",,,,88,11,,,1126,,"CLKUP",4,3
"SUBCOMPACT CARS","SUBARU","IMPREZA AWD",2,4,"Manual(M5)",4,10,20,27,23,22.51,34.72,26.74,"P",,"T",,,,88,11,,,1077,,,4,3
"SUBCOMPACT CARS","SUZUKI","ESTEEM",1.6,4,"Auto(L4)","F",21,27,34,30,30.2,43.4,34.99,"R",,,,,,86,12,,,749,,"CLKUP",4,3
"SUBCOMPACT CARS","SUZUKI","ESTEEM",1.8,4,"Auto(L4)","F",31,26,33,29,28.8,42.5,33.69,"R",,,,,,86,12,,,776,,"CLKUP",4,3
"SUBCOMPACT CARS","SUZUKI","ESTEEM",1.8,4,"Manual(M5)","F",30,28,35,31,31.4,44.4,36.17,"R",,,,,,86,12,,,727,,,4,3
"SUBCOMPACT CARS","TOYOTA","CAMRY SOLARA CONVERTIBLE",2.4,4,"Auto(L4)","F",7,23,31,26,25.3,39.2,30.1,"R",,,,90,9,,,,,866,,"CLKUP",4,3
"SUBCOMPACT CARS","TOYOTA","CAMRY SOLARA CONVERTIBLE",3,6,"Auto(L4)","F",9,19,26,21,20.9,33.1,25.06,"R",,,,90,9,,,,,1071,,"CLKUP",4,3
"SUBCOMPACT CARS","TOYOTA","CELICA",1.8,4,"Auto(L4)","F",18,29,36,31,31.8,45.8,36.87,"R",,,,78,10,,,78,17,727,,"CLKUP",4,3
"SUBCOMPACT CARS","TOYOTA","CELICA",1.8,4,"Manual(M5)","F",18,28,33,30,30.9,42.4,35.2,"R",,,,78,10,,,78,17,749,,,4,3
"SUBCOMPACT CARS","TOYOTA","CELICA",1.8,4,"Manual(M6)","F",20,23,32,26,25.7,40.5,30.76,"P",,,,78,10,,,78,17,953,,,4,3
"SUBCOMPACT CARS","TOYOTA","CELICA",1.8,4,"Auto(S4)","F",20,23,30,26,25.63,38.1,30.06,"P",,,,78,10,,,78,17,953,,"CLKUP",4,3
